Date,Open,High,Low,Close,Volume,True Range,20 EMA,BB Upper,BB Mid,BB Lower,MACD,MACD Signal,MACD Histogram
6/9/2000,0.863839,0.874442,0.842634,0.854911,252358400,0.027,0.7294,0.8088,0.708,0.6079,-0.0569,-0.079,0.0221
6/12/2000,0.860491,0.861049,0.811384,0.814174,290337600,0.0422,0.7294,0.7902,0.702,0.6141,-0.045,-0.075,0.03
6/13/2000,0.814174,0.845424,0.787388,0.84375,351456000,0.0492,0.7257,0.7833,0.699,0.6161,-0.0376,-0.0698,0.0322
6/14/2000,0.845424,0.859375,0.804688,0.807478,277446400,0.0464,0.7248,0.7639,0.693,0.624,-0.0283,-0.0631,0.0347
6/15/2000,0.814732,0.833705,0.794643,0.824777,248572800,0.0331,0.7215,0.752,0.69,0.629,-0.0205,-0.0557,0.0352
6/16/2000,0.834821,0.837054,0.795201,0.814174,303564800,0.0355,0.7202,0.7388,0.686,0.635,-0.0132,-0.0477,0.0344
6/19/2000,0.808594,0.873884,0.801897,0.862723,394004800,0.061,0.7169,0.7423,0.687,0.6335,-0.0045,-0.039,0.0344
6/20/2000,0.879464,0.928013,0.878348,0.904018,501390400,0.0554,0.7196,0.7563,0.692,0.6281,0.0006,-0.0303,0.031
6/21/2000,0.901786,1.016741,0.898438,0.993304,490000000,0.1003,0.7239,0.7905,0.701,0.6131,0.0075,-0.022,0.0295
6/22/2000,0.995536,1.029018,0.956473,0.959821,467712000,0.0616,0.7353,0.8085,0.709,0.6101,0.0178,-0.0137,0.0315
6/23/2000,0.960379,0.975446,0.907366,0.922991,204965600,0.0578,0.7428,0.8168,0.715,0.614,0.0255,-0.0059,0.0313
6/26/2000,0.9375,0.977679,0.930804,0.966518,185354400,0.0463,0.7477,0.8305,0.723,0.6169,0.0295,0.0016,0.0279
6/27/2000,0.960379,0.991071,0.921875,0.924107,203470400,0.0586,0.754,0.8357,0.729,0.6238,0.0339,0.0085,0.0254
6/28/2000,0.952009,0.988839,0.919643,0.972098,286428800,0.0587,0.7591,0.8434,0.739,0.6348,0.0367,0.0149,0.0218
6/29/2000,0.947545,0.96317,0.91183,0.915179,203660800,0.0512,0.7633,0.8452,0.744,0.6431,0.0415,0.021,0.0206
6/30/2000,0.94308,0.981027,0.922991,0.935268,323097600,0.0559,0.7667,0.8499,0.748,0.6477,0.0428,0.0262,0.0166
7/3/2000,0.930804,0.969866,0.930804,0.952009,70828800,0.033,0.7688,0.855,0.754,0.6542,0.0464,0.0313,0.0151
7/5/2000,0.950893,0.985491,0.90625,0.921875,265216000,0.0672,0.7724,0.8567,0.758,0.6604,0.0492,0.0359,0.0133
7/6/2000,0.9375,0.945313,0.886161,0.925223,309545600,0.0501,0.7745,0.8591,0.761,0.6633,0.0532,0.0399,0.0134
7/7/2000,0.939174,0.978795,0.930804,0.972098,263603200,0.0454,0.7765,0.8659,0.766,0.6671,0.0521,0.0428,0.0093
